# ============================================================
# Data Commons MCP Server Export
# ============================================================
# Query:
#   variable_dcid: Count_Person
#   place_dcid: geoId/06
#   child_place_type: County
# Date Filter:
#   date_filter: ObservationDateType.ALL
# Export:
#   server_version: 1.2.0
#   timestamp: 2025-12-08T06:09:16.205243
# ============================================================
#
place_dcid,place_name,place_type,variable_dcid,variable_name,date,value,source_id
geoId/06027,Inyo County,,Count_Person,Total population,2020-04-01,19016.0,2458695583
geoId/06071,San Bernardino County,,Count_Person,Total population,2020,2181654.0,2458695583
geoId/06071,San Bernardino County,,Count_Person,Total population,2020-04-01,2181654.0,2458695583
geoId/06075,San Francisco County,,Count_Person,Total population,2020-04-01,873965.0,2458695583
geoId/06001,Alameda County,,Count_Person,Total population,2020,1682353.0,2458695583
geoId/06001,Alameda County,,Count_Person,Total population,2020-04-01,1682353.0,2458695583
geoId/06035,Lassen County,,Count_Person,Total population,2020-04-01,32730.0,2458695583
geoId/06033,Lake County,,Count_Person,Total population,2020-04-01,68163.0,2458695583
geoId/06009,Calaveras County,,Count_Person,Total population,2020-04-01,45292.0,2458695583
geoId/06023,Humboldt County,,Count_Person,Total population,2020-04-01,136463.0,2458695583
geoId/06057,Nevada County,,Count_Person,Total population,2020-04-01,102241.0,2458695583
geoId/06005,Amador County,,Count_Person,Total population,2020-04-01,40474.0,2458695583
geoId/06043,Mariposa County,,Count_Person,Total population,2020-04-01,17131.0,2458695583
geoId/06091,Sierra County,,Count_Person,Total population,2020-04-01,3236.0,2458695583
geoId/06115,Yuba County,,Count_Person,Total population,2020-04-01,81575.0,2458695583
geoId/06025,Imperial County,,Count_Person,Total population,2020-04-01,179702.0,2458695583
geoId/06007,Butte County,,Count_Person,Total population,2020-04-01,211632.0,2458695583
geoId/06013,Contra Costa County,,Count_Person,Total population,2020-04-01,1165927.0,2458695583
geoId/06089,Shasta County,,Count_Person,Total population,2020-04-01,182155.0,2458695583
geoId/06097,Sonoma County,,Count_Person,Total population,2020-04-01,488863.0,2458695583
geoId/06099,Stanislaus County,,Count_Person,Total population,2020-04-01,552878.0,2458695583
geoId/06107,Tulare County,,Count_Person,Total population,2020-04-01,473117.0,2458695583
geoId/06003,Alpine County,,Count_Person,Total population,2020-04-01,1204.0,2458695583
geoId/06081,San Mateo County,,Count_Person,Total population,2020,764442.0,2458695583
geoId/06081,San Mateo County,,Count_Person,Total population,2020-04-01,764442.0,2458695583
geoId/06037,Los Angeles County,,Count_Person,Total population,2020,10014009.0,2458695583
geoId/06037,Los Angeles County,,Count_Person,Total population,2020-04-01,10014009.0,2458695583
geoId/06061,Placer County,,Count_Person,Total population,2020-04-01,404739.0,2458695583
geoId/06109,Tuolumne County,,Count_Person,Total population,2020-04-01,55620.0,2458695583
geoId/06113,Yolo County,,Count_Person,Total population,2020-04-01,216403.0,2458695583
geoId/06031,Kings County,,Count_Person,Total population,2020-04-01,152486.0,2458695583
geoId/06019,Fresno County,,Count_Person,Total population,2020-04-01,1008654.0,2458695583
geoId/06049,Modoc County,,Count_Person,Total population,2020-04-01,8700.0,2458695583
geoId/06059,Orange County,,Count_Person,Total population,2020,3186989.0,2458695583
geoId/06059,Orange County,,Count_Person,Total population,2020-04-01,3186989.0,2458695583
geoId/06063,Plumas County,,Count_Person,Total population,2020-04-01,19790.0,2458695583
geoId/06093,Siskiyou County,,Count_Person,Total population,2020-04-01,44076.0,2458695583
geoId/06105,Trinity County,,Count_Person,Total population,2020-04-01,16112.0,2458695583
geoId/06017,El Dorado County,,Count_Person,Total population,2020-04-01,191185.0,2458695583
geoId/06021,Glenn County,,Count_Person,Total population,2020-04-01,28917.0,2458695583
geoId/06069,San Benito County,,Count_Person,Total population,2020-04-01,64209.0,2458695583
geoId/06065,Riverside County,,Count_Person,Total population,2020,2418185.0,2458695583
geoId/06065,Riverside County,,Count_Person,Total population,2020-04-01,2418185.0,2458695583
